,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
96343,2021-fa,AAS,100,Intro Asian American Studies,2,14,2,3,5,3,0,1,0,0,0,0,0,0,"Zheng, Reanne"
30119,2021-fa,AAS,120,Intro to Asian Am Pop Culture,4,11,7,1,1,1,3,1,1,0,1,0,0,0,"Park, Doo Jae"
63266,2021-fa,AAS,200,U.S. Race and Empire,10,7,4,4,1,2,1,1,0,1,1,0,0,0,"Park, Doo Jae"
72275,2021-fa,ABE,100,Intro Agric & Biological Engrg,0,20,0,6,2,0,2,0,0,0,0,0,1,0,"Bhattarai, Rabin"
74270,2021-fa,ABE,224,ABE Principles: Soil & Water,3,13,0,2,3,0,0,1,0,0,0,0,0,1,"Kalita, Prasanta K"
88098,2021-fa,ABE,232,Context Intl Interventions,11,10,7,3,1,1,1,0,0,0,0,0,0,2,"Witmer, Ann-Perry"
26547,2021-fa,ABE,430,Project Management,0,101,0,8,22,0,3,8,0,0,0,0,1,0,"Davidson, Paul C"
63274,2021-fa,ABE,436,Renewable Energy Systems,2,4,8,9,2,3,2,1,0,0,0,0,0,0,"Wang, Xinlei"
31245,2021-fa,ABE,488,Bioprocessing Biomass for Fuel,2,2,4,4,7,7,2,0,2,1,0,0,0,0,"Singh, Vijay"
89754,2021-fa,ABE,501,Graduate Research I,0,20,0,0,2,0,0,0,0,0,0,0,0,0,"Zhang, Yuanhui"
66339,2021-fa,ACCY,200,Fundamentals of Accounting,17,70,3,9,19,10,2,2,0,0,0,0,1,0,"Zhang, Li"
12125,2021-fa,ACCY,201,Accounting and Accountancy I,18,34,17,22,19,22,19,21,15,10,8,10,11,5,"Fisher, Mitchell B"
92518,2021-fa,ACCY,202,Accounting and Accountancy II,27,43,11,42,51,18,21,11,5,0,0,0,3,0,"Shapland, Julia P"
24962,2021-fa,ACCY,301,Atg Measurement & Disclosure,5,7,4,3,2,3,1,3,2,0,1,0,0,0,"Johnson, Jennifer A"
16138,2021-fa,ACCY,302,Decision Making for Atg,2,8,4,5,8,3,1,1,0,0,0,0,0,0,"Samet, Jordan A"
18962,2021-fa,ACCY,303,Atg Institutions and Reg,16,1,2,1,3,1,1,1,0,1,1,0,1,0,"Godsell, David"
75808,2021-fa,ACCY,304,Accounting Control Systems,8,13,4,2,3,1,1,0,1,0,1,0,1,0,"Hayne, Christie"
86186,2021-fa,ACCY,312,Principles of Taxation,0,15,0,0,8,0,0,3,0,0,0,0,0,1,"Holder, Daniel E"
91676,2021-fa,ACCY,398,Practical Problems in Atg,0,23,0,0,1,0,0,0,0,0,0,0,1,0,"Hutchens, Matthew"
27211,2021-fa,ACCY,405,Assurance and Attestation,0,8,2,10,12,1,1,0,0,0,0,0,0,0,"Kink, Dawn M"
88964,2021-fa,ACCY,410,Advanced Financial Reporting,5,9,4,2,5,5,0,1,1,0,0,0,0,1,"Kustanovich, Michael"
45509,2021-fa,ACCY,451,Advanced Income Tax Problems,1,8,2,0,21,0,0,0,0,0,0,0,0,0,"Davis, Jon S"
59831,2021-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",5,4,15,7,6,3,4,0,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
66870,2021-fa,ACCY,501,Accounting Analysis I A,28,31,25,24,16,3,4,1,2,0,3,4,4,2,"Augusto Sampaio, Gerlando"
70116,2021-fa,ACCY,501,Accounting Analysis I B,35,43,31,10,10,1,1,0,0,0,0,0,3,1,"Augusto Sampaio, Gerlando"
94166,2021-fa,ACCY,502,Accounting Analysis II,3,23,5,1,1,0,0,0,0,0,0,0,0,0,"Schwartz, Rachel"
50026,2021-fa,ACCY,502,Accounting Analysis II A,10,17,10,13,11,4,1,0,0,0,0,0,0,0,"Mendoza, Scott A"
70291,2021-fa,ACCY,502,Accounting Analysis II B,7,16,8,8,11,9,3,3,0,0,0,0,1,0,"Mendoza, Scott A"
70334,2021-fa,ACCY,503,Managerial Accounting,4,8,9,1,1,1,0,1,1,1,0,0,0,0,"Augusto Sampaio, Gerlando"
84570,2021-fa,ACCY,504,Auditing,0,21,8,2,1,0,1,0,0,0,0,0,0,0,"Chatterton, Angel"
38141,2021-fa,ACCY,504,Auditing A,22,77,20,25,72,14,2,0,0,0,1,0,0,0,"Peecher, Mark E"
70461,2021-fa,ACCY,504,Auditing B,16,59,43,50,55,7,0,0,0,0,0,0,0,0,"Peecher, Mark E"
18783,2021-fa,ACCY,505,Federal Taxation,5,9,3,4,7,5,0,0,0,0,0,0,0,0,"Alt, Amanda J"
54851,2021-fa,ACCY,505,Federal Taxation A,35,64,45,24,36,5,5,2,0,0,0,0,6,1,"Hutchens, Matthew"
72917,2021-fa,ACCY,505,Federal Taxation B,30,79,33,21,25,13,5,4,1,0,0,0,2,1,"Hutchens, Matthew"
61781,2021-fa,ACCY,510,Financial Reporting Standards,3,15,0,6,7,3,0,0,0,0,0,0,0,0,"Steward, Cynthia G"
50380,2021-fa,ACCY,515,Auditing & Assurance Standards,0,6,9,11,10,3,1,0,0,0,0,0,0,0,"Zhou, Yuepin"
55880,2021-fa,ACCY,517,Financial Statement Analysis,0,14,10,2,0,0,0,0,0,0,0,0,0,0,"Hamm, Brian K"
74861,2021-fa,ACCY,551,Corporate Income Taxation,0,4,8,5,3,2,0,0,0,0,0,0,0,0,"Sternburg, Thomas"
63352,2021-fa,ACCY,556,Tax Research,0,19,0,0,9,0,0,0,0,0,0,0,0,0,"Holder, Daniel E"
45953,2021-fa,ACCY,569,Data Driven Decisions in Acctg,19,21,15,5,3,1,2,2,0,0,1,0,7,0,"Guymon, Ronald N"
90805,2021-fa,ACCY,570,Data Analytics Foundations,0,20,20,9,2,0,0,0,0,0,0,0,0,0,"Anand, Vic"
17657,2021-fa,ACCY,578,ACCY Analytics Appl - A,36,5,0,1,0,0,0,0,0,0,0,0,1,0,"Lu, Zhenzhong L"
24752,2021-fa,ACCY,578,ACCY Analytics Appl - B,33,0,0,1,0,0,0,0,1,0,0,0,0,0,"Nekrasz, Frank"
94891,2021-fa,ACE,100,Intro to Applied Micro,5,6,8,4,8,1,0,1,0,0,0,0,0,1,"Hadunka, Protensia"
77080,2021-fa,ACE,161,Microcomputer Applications,0,19,0,0,8,0,0,3,0,0,0,0,0,0,"Burnett, Meghan L"
42067,2021-fa,ACE,199,Digital Mktg and Social Media,0,26,0,0,8,0,0,2,0,0,2,0,0,0,"Lo, Alexander C"
24318,2021-fa,ACE,199,Negotiation,61,29,6,7,5,2,2,2,0,0,0,0,5,1,"Stoddard, Paul B"
